timestamp,latitude,longitude,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time
31/03/2025 16:32,45.786685,4.888233,35,83,53,22
31/03/2025 16:33,45.786685,4.888233,36,82,52,22
31/03/2025 16:34,45.786685,4.888233,23,83,81,22
31/03/2025 16:35,45.786685,4.888233,19,83,98,22
31/03/2025 16:36,45.786685,4.888233,41,82,45,22
31/03/2025 16:37,45.786685,4.888233,31,82,60,22
31/03/2025 16:38,45.786685,4.888233,24,81,78,23
31/03/2025 16:39,45.786685,4.888233,35,82,53,22
31/03/2025 16:40,45.786685,4.888233,24,82,78,22
31/03/2025 16:41,45.786685,4.888233,54,82,34,22
31/03/2025 16:42,45.786685,4.888233,56,82,33,22
31/03/2025 16:43,45.786685,4.888233,40,84,46,22
31/03/2025 16:44,45.786685,4.888233,38,82,49,22
31/03/2025 16:45,45.786685,4.888233,38,81,49,23
31/03/2025 16:46,45.786685,4.888233,37,81,50,23
31/03/2025 16:47,45.786685,4.888233,44,81,42,23
31/03/2025 16:48,45.786685,4.888233,35,82,53,22
31/03/2025 16:49,45.786685,4.888233,28,83,67,22
31/03/2025 16:50,45.786685,4.888233,52,82,36,22
31/03/2025 16:51,45.786685,4.888233,27,82,69,22
31/03/2025 16:52,45.786685,4.888233,29,81,64,23
31/03/2025 16:53,45.786685,4.888233,52,81,36,23
31/03/2025 16:54,45.786685,4.888233,41,81,45,23
31/03/2025 16:55,45.786685,4.888233,37,82,50,22
31/03/2025 16:56,45.786685,4.888233,28,83,67,22
31/03/2025 16:57,45.786685,4.888233,35,81,53,23
31/03/2025 16:58,45.786685,4.888233,25,83,75,22
31/03/2025 16:59,45.786685,4.888233,15,82,125,22
31/03/2025 17:00,45.786685,4.888233,22,82,85,22
31/03/2025 17:01,45.786685,4.888233,44,82,42,22
31/03/2025 17:02,45.786685,4.888233,37,82,50,22
31/03/2025 17:03,45.786685,4.888233,47,83,39,22
31/03/2025 17:04,45.786685,4.888233,33,84,56,22
31/03/2025 17:05,45.786685,4.888233,46,81,40,23
31/03/2025 17:06,45.786685,4.888233,30,81,62,23
31/03/2025 17:07,45.786685,4.888233,26,80,72,23
31/03/2025 17:08,45.786685,4.888233,31,82,60,22
31/03/2025 17:09,45.786685,4.888233,24,81,78,23
31/03/2025 17:10,45.786685,4.888233,30,82,62,22
31/03/2025 17:11,45.786685,4.888233,50,81,37,23
31/03/2025 17:12,45.786685,4.888233,43,81,43,23
31/03/2025 17:13,45.786685,4.888233,48,82,39,22
31/03/2025 17:14,45.786685,4.888233,37,80,50,23
31/03/2025 17:15,45.786685,4.888233,34,82,55,22
31/03/2025 17:16,45.786685,4.888233,21,82,89,22
31/03/2025 17:17,45.786685,4.888233,30,81,62,23
31/03/2025 17:18,45.786685,4.888233,28,81,67,23
31/03/2025 17:19,45.786685,4.888233,24,81,78,23
31/03/2025 17:20,45.786685,4.888233,39,82,48,22
31/03/2025 17:21,45.786685,4.888233,35,83,53,22
31/03/2025 17:22,45.786685,4.888233,31,83,60,22
31/03/2025 17:23,45.786685,4.888233,27,82,69,22
31/03/2025 17:24,45.786685,4.888233,36,82,52,22
31/03/2025 17:25,45.786685,4.888233,37,82,50,22
31/03/2025 17:26,45.786685,4.888233,10,80,187,23
31/03/2025 17:27,45.786685,4.888233,28,82,67,22
31/03/2025 17:28,45.786685,4.888233,20,85,93,22
31/03/2025 17:29,45.786685,4.888233,20,85,93,22
31/03/2025 17:30,45.786685,4.888233,31,83,60,22
31/03/2025 17:31,45.786685,4.888233,29,82,64,22
